cfg,label,reason,traceback
C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\raw_data\UPT BANDUNG\2024\11. NOVEMBER\REKAMAN GANGGUAN BDSLN-DEPOK MAIN B 15-11-2024_PETIR\REKAMAN GANGGUAN BDSLN-DEPOK MAIN B 15-11-2024\DR BDSLN-DEPOK MAIN B KE 2.CFG,PETIR,parse returned None,
C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\raw_data\UPT BANDUNG\2025\02. FEBRUARI\ULTG BDBS\20250224_GI CIKALONG_BAY CIGERELENG#2_PETIR1.CFG,PETIR,'DistanceFeatures' object has no attribute 'fault_duration_ms',"s\36. DFR GANGGUAN UIT JBT\pipeline\batch_extract.py"", line 147, in flatten_features
    d[""duration_ok""] = feat.fault_duration_ms >= 5.0
                       ^^^^^^^^^^^^^^^^^^^^^^
AttributeError: 'DistanceFeatures' object has no attribute 'fault_duration_ms'. Did you mean: 'record_duration_ms'?
"
C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\raw_data\UPT BANDUNG\2025\02. FEBRUARI\ULTG BDBS\20250224_GI CIKALONG_BAY CIGERELENG#2_PETIR2.CFG,PETIR,'DistanceFeatures' object has no attribute 'fault_duration_ms',"s\36. DFR GANGGUAN UIT JBT\pipeline\batch_extract.py"", line 147, in flatten_features
    d[""duration_ok""] = feat.fault_duration_ms >= 5.0
                       ^^^^^^^^^^^^^^^^^^^^^^
AttributeError: 'DistanceFeatures' object has no attribute 'fault_duration_ms'. Did you mean: 'record_duration_ms'?
"
C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\raw_data\UPT BEKASI\2024\Apr 2024\20240401_Reclose Juishin - Cileungsi_Petir BFO\010424\FR000001.cfg,PETIR,protection=UNKNOWN,
C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\raw_data\UPT BEKASI\2024\Apr 2024\20240401_Reclose Juishin - Cileungsi_Petir BFO\Reclose_Bay_Juishin_phasa_T_01042024\Reclose_Bay_Juishin_phasa_T_01042024.CFG,PETIR,protection=UNKNOWN,
C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\raw_data\UPT BEKASI\2024\Feb 2024\01022024 Reclose Cibatu bay Cileungsi_PETIR\Bay_Cibatu_Reclose_Phasa_S_01022024\Cibatu_Reclose_PhS_01022024.CFG,PETIR,protection=UNKNOWN,
C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\raw_data\UPT BEKASI\2024\Feb 2024\25022024 Reclose Juishin - Cileungsi_PETIR\GI Cileungsi Reclose bay Juishin Phasa R 26 Feb 2024\reclose juishin phasa r\Reclose_Bay_Juishin_phasa_R_25022024.CFG,PETIR,protection=UNKNOWN,
"C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\raw_data\UPT BOGOR\2025\02. FEBRUARI\20250202_GITET CIBINONG BAY DIAMETER 7A4 DAN 7AB4_PETIR\250201,195332798,+7h0,GITET CIBINONG,SGLNG 1-IBT 1,Qualitrol LLC.cfg",PETIR,protection=UNKNOWN,
C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\raw_data\UPT BOGOR\2025\02. FEBRUARI\20250225_GI CIBADAK BARU BAY PRATU#1_PETIR\GGN200225 OK.CFG,PETIR,'DistanceFeatures' object has no attribute 'fault_duration_ms',"s\36. DFR GANGGUAN UIT JBT\pipeline\batch_extract.py"", line 147, in flatten_features
    d[""duration_ok""] = feat.fault_duration_ms >= 5.0
                       ^^^^^^^^^^^^^^^^^^^^^^
AttributeError: 'DistanceFeatures' object has no attribute 'fault_duration_ms'. Did you mean: 'record_duration_ms'?
"
C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\raw_data\UPT BOGOR\2025\02. FEBRUARI\20250225_GI CIBADAK BARU BAY PRATU#1_PETIR\Tuesday 25 February 2025 19.21.25.000.CFG,PETIR,'DistanceFeatures' object has no attribute 'fault_duration_ms',"s\36. DFR GANGGUAN UIT JBT\pipeline\batch_extract.py"", line 147, in flatten_features
    d[""duration_ok""] = feat.fault_duration_ms >= 5.0
                       ^^^^^^^^^^^^^^^^^^^^^^
AttributeError: 'DistanceFeatures' object has no attribute 'fault_duration_ms'. Did you mean: 'record_duration_ms'?
"
